2.21E+02	1.87E+02	1.61E+15	4.92E-18	1.39E-17	0.35507
2.22E+02	1.88E+02	1.60E+15	4.90E-18	1.59E-17	0.30765
2.23E+02	1.89E+02	1.59E+15	6.35E-18	1.82E-17	0.34825
2.24E+02	1.90E+02	1.58E+15	7.49E-18	2.09E-17	0.35894
2.25E+02	1.91E+02	1.57E+15	8.94E-18	2.39E-17	0.37477
2.26E+02	1.92E+02	1.57E+15	1.13E-17	2.72E-17	0.41489
2.27E+02	1.93E+02	1.56E+15	1.12E-17	3.10E-17	0.35976
2.28E+02	1.94E+02	1.55E+15	9.08E-18	3.54E-17	0.25671
2.29E+02	1.95E+02	1.54E+15	1.68E-17	4.02E-17	0.41795
2.30E+02	1.96E+02	1.53E+15	2.35E-17	4.57E-17	0.51372
2.31E+02	1.97E+02	1.52E+15	2.60E-17	5.32E-17	0.48796
2.32E+02	1.98E+02	1.52E+15	3.16E-17	5.95E-17	0.53061
2.33E+02	1.98E+02	1.51E+15	3.78E-17	6.57E-17	0.57516
2.34E+02	2.00E+02	1.50E+15	3.96E-17	7.53E-17	0.52571
2.35E+02	2.01E+02	1.50E+15	4.70E-17	8.51E-17	0.55307
2.36E+02	2.02E+02	1.49E+15	5.37E-17	9.60E-17	0.55947
2.37E+02	2.03E+02	1.48E+15	5.81E-17	1.08E-16	0.53647
2.38E+02	2.04E+02	1.47E+15	6.94E-17	1.22E-16	0.56959
2.39E+02	2.05E+02	1.47E+15	7.55E-17	1.37E-16	0.55077
2.40E+02	2.06E+02	1.46E+15	9.30E-17	1.54E-16	0.60309
2.41E+02	2.07E+02	1.45E+15	9.63E-17	1.73E-16	0.55609
2.42E+02	2.07E+02	1.45E+15	9.08E-17	1.92E-16	0.47239
2.43E+02	2.08E+02	1.44E+15	1.27E-16	7.53E-14	0.00169
2.44E+02	2.09E+02	1.44E+15	1.79E-16	8.23E-14	0.00217
2.45E+02	2.10E+02	1.43E+15	3.45E-16	9.31E-14	0.00371
2.46E+02	2.11E+02	1.42E+15	4.63E-16	1.05E-13	0.00441
2.47E+02	2.12E+02	1.42E+15	4.99E-16	1.18E-13	0.00422
2.48E+02	2.13E+02	1.41E+15	6.90E-16	1.33E-13	0.0052
